Batman vs Superman	batman vs superman
Yea, they have become longer	Haan yeh lamba ho gaya.
I have never heard of a Vitamin D overdose.	Maine kabhi vitamin D overdose ke bare mein nahi suna hai.
thats funny	yeh funny hai.
Hey there	Suno
hello	hello
How are you 	aap kaise hain
I am good how are you?	main teek hoon, aap kaise hain?
Thank you i am fine 	shukriya main teek hoon
Have you seen the movie 	aap movie dekha hain
Its a great movie 	yeh  bahut achha movie hain
Yes I have seen it, and I found it quite good. It wasn't your typical Disney live-action, but it is due to this that it was great. definitely surpassed the ideas seen in Frozen.	haan main dekha aur mujhe achha laga. yeh  disney live-action movie jaise nahin hain, us ke karan yeh movie bahut achhi hain. frozen se bhi bahut achha movie hain
Lol	lol
The movie Maleficent is also a great look at the untold story of Sleeping Beauty	movie maleficient bhi bahut achhi hain aur sleeping beauty ke  ankaha kahani dekho
Yes its true	Han yeh sahi hai
Well sleeping beauty its an old movie bud really good	Khair sleeping beauty ek purani movie hai but bahut achhi hai
I think the new ones are excellent as well	Mujhe lagta hai new ones bhi bahut badiya hai
So very true. I just like the digital look of the fairytale setting that plays off the original animated scenery.	Bilkul sahi. Mujhe fairytale setting ka digital look pasand hai jo original animated scenery dikhata hai.
Are you a fan lf disney movies?	Kya tum disney movies ke fan ho?
This movie did cause me to loathe King stefan though... I mean he tore her wings off.	Iss movie ne raja stefan ko kam karne ke liye kiya... Mera matlab usne apne wings kaat diye.
I like pirates of the Caribbean more than all the other Disney'	Mujhe pirates of the Caribbean sabhi Disney' movies se zyada pasand hai
Yes and No. I find that the animated films are quite nostalgic, but the live-action films like Maleficent in which you see the darkness behind the films cater better to me nowawdays.	Han ye nhi. Mujhe lagta hai ki animated movies bahut nostalgic hoti hai, lekin live-action movies jaise Maleficent jis mein tum film ke peechhe andhera dekh skte ho ajakl zyada behtar hai mere.
True i think you are a good movie reader	Sach mujhe lagta hai ki tum ek achhe movie reader ho
Though I do find the Jerry Burckheimer productions better than Robert Stromberg who did Maleficent 	Halanki mujhe Jerry Burckheimer productions better lagti hai Robert Stromberg jisne Maleficent banayi thi
Yes you are correct 	Han tum sahi ho
But Maleficent has a far more heartbreaking background than the Pirates movies.the background of Maleficent, and even the fact taht she cared for Aurora despite her villian status makes her likeable and hateable at the same time	But Maleficent ka background zyada heartbreaking and pirate movies se. Maleficient ka background, aur ye fact ki wo Aurora ki care krti hai jabki uska ek villan ka status hote hue bhi use likeable or hateable dono ek hi samay pe banata hai
Which ones are your favorite movies animated or action 	Tumhari konsi movies favorite hai animated ya action
How many times have you seen this movie	Tumne yeh movie kitni baar dekhi hai
I quite have not seen the whole movie	Maine yeh saari movie nhi dekhi
I like the action ones best I think. and ive only seen Maleficent once.... while the storyline was great, I am not complelled to watch it again. 	Mujhe lagta hai ki mujhe action sabse achhi lagti hai. aur maine sirf ek baar Maleficent dekhi hai... jabki storyline bahut achhi thi, main isse phir se nhi dekhna chahta
Yes me too 	Han main bhi
what parts have you seen	Tumne konse parts dekhe hai
To be honest i dont really remember much	Sach kahu to mujhe zyada yaad nhi hai
I mean I do give them credit for the live-action of the whole Phillip rescuing Aurora from Maleficent thing, but even with computers and the live-action, none of it did justice to the animated version where she turns into the dragon	Mera matlab hai ki main use pure Philip ki live-action ke liye credit deta huin, jo ki sirf Maleficient ki cheezon se Aurora ko bachate hain, but yahan tak ki computers aur live-action ke saath, in mein se kisi ne bhi animated version ke saath justice nhi ki, jahan wo dragon mein badal jati hai
plus they added a darker element where King Stefan also falls to his death	unhone uske upar kala element add kiya uske vajahse raja stefan mar gaya
Well i do remember that part	ha mujhe wo part yad hai
Are you into movies critics 	tum movie crtics ho kya
I find this movie confuses me lol. You're happy she gets her wings back, but mad Aurora's dad died... or is that good too? He wasn't bad in the animated version.	mujhe ye movie confuse krti hai. tum khush ki usko wings milte hai, but paga aurora ke dad marte hai.. ya ye bhi acha hai? wo bura nahi hai animated movie me
Eh I do take looks at Rotten Tomatoes here and there	ha me rotten tomatoos pe dekhta rehata hu idhar udhar
they hated this movie by the way lol 	unhe ye movie pasand nahi aayi lol
You seen to well know much about the whole production kind 	lagta hai tumhe pura pata hai production tak
Lol	has raha hu jorse
Have you seen this movie?	aap movie dekha hai?
I just saw it.	ha ,maine abi kuch der pahale dekha hoon.
Have you seen it?	aap dekha hai?
No, I usually like stuff with Benedict Cumberpatch though.	nahi,main Benedict cumberpatch jaise movie  dekhtha hoon
It was such a thrilling movie. Based on the life of Alan Turing.	woh bada romanchakari movie tha.woh Alan Turing  ke jeevan ke bare me tha
Keira Knightly slightly annoys me however.	Keira Knightly mujeh achi nahi lagtha
Cumberbach was really the highlight of the film	Cumberbach film ke mukhya akarshan tha .
Got good reviews, Rotten tomatoes rarely goes over 90% it seems.	acha sameekhan mila , rotton tomatos ko 90% ke uper sameekshan nahi mila
Who is Alan Turing?	Alan Turing Kaun Hai
true. Metacritic gave them 73/100. Turing was a mathematician who was a cryptanalyst for the British during WWII against the Germans. He is famous for breaking the Enigma code.	sach hein yar, metacritic ne 73/100 diya tha. Turing toh mathematician hein jo british ke liye cryptanalyst  bane the tab wwii saari germans ke against the. aur voh enigma code ko break karne mein famous hein.
He was outed as a spy by the police who were investigating a break in at his home.	voh toh spy the aur police ke liye investigate kar rahe the, jo unka ghar break hogaya tha
Definitely see it if you get a chance.	jarur dekh na agar aapko chance mila toh
Dramas tend to kind of bore me usually, with many note-worthy exceptions. I like Comedies mostly or fantasy, Sci-fi. I will check it out though, all in all i just love movies!	voh drama toh bore lagne laga usme jyada note worthy exceptions tha. muje comedies aur fantasy pasand aaya especially sci-fi. mein check kar lunga, overall muje movies pasand hein
Sounds like an interesting fellow, will definetly give it a watch.	lagtha hein interest se rahega, jarur mein watch karunga
It is really more of an espionage movie. It is pretty exciting. I guess there is some drama with his experiences in boarding school and studying with Morcom, his mentor.	han yar yeh toh espionage movie nikla. bahut excite hein usme. muje lagtha hein ki usme kuch drama apni boarding school ka experiences mein se likha hoga aur morcom mein padne se likha hoga jo uska mentor tha
I think you will enjoy it.	muje laga ki tu enjoy karega
Morton Tyldum is a great director.	morton tyldum bahut badiya director hein
Andrew grant and that rag science news never gets it right, if he liked it i will probably hate it.	voh andrew grant aur uska rag science ka news kabhi bhi right nahi hota, agar voh ushe pasand aaya tho mein use hate karunga
The hollywood reporter seems to be as fond of Cumberpatch as i am.	voh hollywood reporter toh cumberpatch nikhla, jaisa mein hoon.
It is kind of technical. It goes pretty in depth about his machine to break the code. He has some breakthroughs when he realizes he can program it with words he already knows. You will probably enjoy that.	ye technical type ka hai, code break karne ke liye machine me bahut deep jana padta hai. use ek breakthrough milta hai jab use ye realize hota hai ki wo use pahle se malulm words se wo is program kar sakta hai. tum enjoy karoge ise.
Cumberbach does a great job acting.	kamal ki acting ki hai Cumberbach ne.
These storys based on true stories tend to always add so much stuff to keep it interesting that it kinda distorts history in my opinion.	mere opinion me true stories pe based ye story hamesha history ko distort karti hain use interesting banane ke liye.
The bit about getting married to Keira Knightley might be annoying for you if you are not partial to her acting. I might warn you about all that.	Keira Knightley se marriage ko lekar jo wakya hai, wo thoda annoying hai agar aap uski acting ko leke thode favorable nahi hai to. tumhe iske bare me warn kar raha hu.
It is interesting since the movie is based on a play based on a book based on his life. I see your point there.	interesting baat ye hai ki yah movie us play par based hai, jo uski life par likhi book par based hai. tumhara point dekh sakta hu mai.
I would probably enjoy the technical aspects of the film, the good acting, and even the half made up story!	mai probably film ke technical aspect ko enjoy karu, badhiya acting, aur half cooked story.
I think also where it is a movie about a mathematician, it kind of helps to add in some plot elements. I think this is unusual though as his life was so interesting.	I think also yah movie ek mathematician ke baare men hai, plot me thode elements dalna helpful hai. par mujhe ye unusual laga kyonki uski life to waise hi itni interesting hai.
There is quite a bit of espionage involved as well. I suppose I am not spoiling it since it is history, but there is some Russian collusion involved.	isme espionage ka angle bhi involve hai. I suppose mai  kuch spoil nahi kar raha hu kyonki ye history hai, but kuch Russian secret bhi involved hai.
If he marries Keira knightly i may be shouting at my T.V.	agar wo Keira knightly se marriage karega to mai shayad T.V. par hi shout karne lagu.
Big drama when Turing confronts the russians.	bada drama hua jab Turning Russians ko confront karta hai.
Yeah you might have to fast forward through the lurid romance. It is not so bad though.	haan, aapako phurteela romaans ke maadhyam se aage badhana hoga. yah haalaanki itana bura nahin hai.
She is trite, absolutely, but the director does make it work here.	vah bilkul trait hai, lekin nirdeshak ise yahaan kaam karate hain.
also, turns out he is gay!	yah bhee pata chala ki vah samalaingik hai!
so she gets what she deserves.	isalie use vah milata hai jisaka vah hakadaar hai.
you might actualy like it.	aap ise pasand kar sakate hain.
I didn't really get that part, but who can understand the gays?	mujhe vaastav mein vah hissa nahin mila, lekin samalaingikon ko kaun samajh sakata hai?
Well, that kinda of makes it more inviting to me, Keira Nightly must be sad to find that out!	khair, yah thode ise aur adhik mere lie aamantrit karata hai, keira naitalee ko yah pata lagaane ke lie dukhee hona chaahie!
yeah I think she was pretty upset. Like I said I didn't really understand all of that. I was mostly in it for the math. What an interesting, fascinating story.	haan, mujhe lagata hai ki vah bahut pareshaan thee. jaisa mainne kaha ki main vaastav mein us sab ko samajh nahin paaya hoon. main jyaadaatar ganit ke lie isamen tha. kya dilachasp, aakarshak kahaanee hai.
I think Turing was gay for his mentor or something, but he dies.	mujhe lagata hai ki tyooring apane guru ya kuchh aur ke lie samalaingik tha, lekin vah mar jaata hai.
Sounds a bit like Beautiful mind that was a great movie, too!	sundar dimaag kee tarah lagata hai ki ek mahaan philm thee, bhee!
Tuberculosis.	Tuberculosis.
Yeah I did love Beautiful mind. I read that that guy actually was working for the government.	Haan Beautiful mind accha laga.maine padha hai woh government main kaam karta tha.
Talk about changing the story!	story badalne ke baare main batao!
Turing's story is pretty sad. He got bullied a lot at boarding school. Seems to have affected him a lot. Too bad he wasn't able to find love. Maybe he should have gone for somebody besides Kiera Knightley!	Turing ki story bahut sad hai. usko boarding school main bahut bully kia gaya.Lagta hai woh bahut affect hua. Too bad use love nahin mila. Maybe use Kiera Knightley ke alava kisi aur ko jaana chahiye tha!
How come you dislike her so much?	kaise tum use itna dislike kar sakte ho?
Is it because you guys used to date?	kya isliye ki tum log dating karte the?
Mostly just for hogging that driftwood in Titanic ;)	Mostly driftwood ke hogging ke liye Titanic mein:)
Oh yeah. I have never seen that one. 	Oh haan. Maine kabhi nahin dekha tha usko.
I find her Wiry, trite, and egotistical. I only enjoy those qualities in myself.	mujhe woh Wiry,trite aur egotistical laga. Mujhe sirf who qualities apne mein lagta hai.
I know there is that song by celine dion.	mujhe malum hai woh song celine dion se hai.
haha that is funny. I figured that but didn't want to say.	Ha Bahut hi majedar hai. Hum ko malum tha ki bat karna nahi chahete
She is kind of a walking plattitude. Kind of like Reese Witherspoon, but more indiana less texas	Woh ladki chalne wali sadharan hai. Reese Witherspoon ki tarah, lekin jyada indiana aur kum Texas
or something	ya kuch kuch
Oh, its ok. Im not blind. However after looking at Keira Knightley for 2 hours i might be.	Arey teek hai. Hum andha nahi hai. Lekin do ghante tak hum Keira Knightly ko dekhne ke badh,  ho sakta hai
Still the story sounds like one of importance that should be told, ill have to tune in.	Phir bhi is kahani aisa mahatwa lagta hai ki sabhi ko batana chahiye. Humko sunna padega.
anyways she didn't ruin the movie. If anything, Turing's life ruins the movie. It's just sad he gets bullied and takes refuge in gay love. He could have just worked out, made some friends, and been happy. It is a very important story. Reminds me of the life of Charles Darwin, or Plato.	Vise bhi usne philam ko barbad nahi kiya. Turing ka jeevan film ko barbad kar deta hai. Bahut dukh ki bat hai ki voh tung agaya aur sam legik prem ka sharan leta hai. Woh kam kar sakta tha, kuch dost bana sakta tha, aur khush reha sakta tha. Yeh to ek bahut hi mahatpurna kahani hai. Charles Darwin ya Plato ka yad dilata hai.
oh, I really like Reese, Not sure what that says about me.	Arre, mujhe vastavme Reez pasand hai, lakin woh mere bare me kya bolta hai malum nahi hai
That is funny but you don't like Kiera. 	Yeh majak ki bat hai lekin apko Kiera pasand nahi hai.
I thought Cumberbach made a great Turing, but it would have been funnier if they cast eminem.	Mujhe laga ki Cumberbakh ne ek mahan turing banaya hai agar woh eminem dalte hai to aur hi majedar hota.
Fitness is very important. Im a big fan of Darwin so that makes me interested a bit more in the story.	Fitness bahut jaruri hai. Mi Darwin ka bada prasanshak hai jise mujhe kahani me aur dilchaspi huyi.
Well, Darwin had a rough time on the beagle. He was the captain's special steward, which was a demanding job, if you know what I mean.	कुंआ, daarvin ko beegal par ek kathin samay tha. vah kaptaan ke khaas steward tha, jo ek maangalik kaary tha, yadi tumhen maaloom hai ki mera kya matalab hai.
All of the Hollywood rags seemed to speak highly of it.	sabhee holeevud raigs isake baare mein bahut jyaada bolate the
His theory of fitness was basically an analogy for his relationship to the captain and his station in life, and his feeling of evolution to a higher station in his own life. He was certainly an interesting fellow.	phitanes ka unaka siddhaant mool roop se kaptaan aur jeevan mein unake steshan ke lie unake rishte ka ek saadrshy tha, aur apane jeevan mein ek uchch steshan ke lie vikaas kee usakee bhaavana. vah nishchit roop se ek dilachasp saathee tha.
I seriously loved this Turing movie. You have to see it!!!	mujhe yah tyooring philm bahut pasand aaee. aapako ise dekhana hee hoga!!!
I dont usually take anything the Hollywood reporter says to heart though.	main aamataur par hollywood riportar ko dil se kahata hai ki kuchh bhee mat lo.
No they have their own problems. 	nahin, unakee apanee samasyaen nahin hain.
And what do they know about science?	aur ve vigyaan ke baare mein kya jaanate hain?
Not since they gave The Big Lebowski such awful reviews.	nahin jab se unhonne da big lebovskee ko aisee bhayaanak sameeksha dee.
Turing is an important guy. I'd rather see a movie about Kurt Godel or Giordano Bruno.	tyooring ek mahatvapoorn ladaka hai. balki main kart godel ya jiyordaano broono ke baare mein ek philm dekhoonga.
Or maybe a serious horror/drama about Galileo.	ya shaayad gaileeliyo ke baare mein ek gambheer horar / naatak.
I think the Big Lebowski was a great film I didn't realize it had a poor critical reception.	mere vichar se Big Lebowski great film thi, mujhe nahi maloom tha ki ise poor critical reception mila
I actually think I might write a script about the life of Galileo	me actually sochta hu ki mujhe Galileo ki life ke bare me ek script likhna chahiye
Your right, because Scientifically The Big Lebowski is the best movie ever made. yet, magazines like empire and Variety pee'd on its rug.	tum right ho, kyunki scientifically big Lebowski aaj tak banayi gayi  best film he. iske bawajood, Empire aur Variety jaisi magazines iski apman janak alochna karti he.
people would love that it would make them feel smart.	people pasand karenge ki ye unhe smart feel karayega.
actually, that makes sense.	actually , ye mayne rakhta he
I am actually ordained as a Dudist Priest.	me actually Dudist Priest ke rup me jana jata hu
You can do it online for free, and then you can legally marry people.	tum ise online free me kar sakte ho, aur uske bad tum legally kisi se bhi  marriage kar sakte ho
Go forth and Abide my son.	age bado aur mere bete ko abide karo
Indeed. I shall Abide.	Indeed. me paloonga
oh i know, im also a member dude.	oh, me janata hu, me bhi ek member hu dude
Oh nice. I knew you were coolio foolio.	oh achchha. mujhe pata tha ki tum kooliyo moorkh the.
there is a fun facebook page too, dudeism, check it out!	ek majedaar phesabuk pej bhee hai, yaar, yah jaanch!
What is up with this study though? I feel we are being watched. Do you think we will be in a movie with Benjamin Cumberbach?	haalaanki is adhyayan ke saath kya ho raha hai? mujhe lagata hai ki hamen dekha ja raha hai. kya aapako lagata hai ki ham benjaamin kambarabaich ke saath ek philm mein honge?
I will for sure check it out on the myface.	main nishchit roop se ise myfachai par dekhoonga.
I think there should be parallel networks called myface and spacebook.	mujhe lagata hai ki myfachai aur spachaibook naamak samaanaantar netavark hona chaahie.
haha i use that term Myface all the time.	hah ki main har samay myfachai shabd ka upayog karata hoon.
great minds think alike.	bade man vaale aisa sochate hain.
I once toyed with the idea of opening a coffee shop called dunkin buckstar's	mainne ek baar dankin bakestaar naamak ek kophee kee dukaan kholane ke vichaar ke saath khilavaad kiya
but yes, they say iron knows iron	lekin haan, ve kahate hain ki loha lohe ko jaanata hai
It said there would be three pages, yet we seem to be done.	isane kaha ki teen pej honge, phir bhee ham aisa karate prateet hote hain.
anyways though, it is pretty exciting to see Turing recalibrate that machine. You will enjoy that.	vaise bhee, us masheen ko tyooring reekailibret dekhana kaaphee romaanchak hai. aapako maja aaega.
did you leave?	aapane chhod diya?
Hi	HI / NAMASTE
How are you?	KYA HAAL HAI?
good you	BADIYA, TUM?
Good.	BADIYA.
Did you see a movie lately?	KYA AAPNE KOI FILM DEKHEE RECENTLY?
Never seen it	KABHEE NAHIN DEKHA.
was it animated)sp)	KYA VO ANIMATED THA?
no-	nhi
I havent seen a movie	mai ne nhi dekhi
did you see the first one?	pehli dekhi hai kya tumne ?
I think this is the second one	muje lgta hai ye dusri hai
Sorry confused	chamma confused hu
Come to think about it, I saw the first not this one.	aao sochte hai shayad pehli dekhi hai ye wali nhi
What is the movie name	movie ka kya naam hai
monsters university	rakshas mahavidyalaya
cool	thandi
what is that about	kis bare mai hai ye
With Billy Crystal as the voice of main charcter	sath mein Billy Crystam main character ki voice mein
is it animated	kya ye animated hai
The first one was very funny, so this one is sure to be also	pehle wali kafi funny thi, to ye wali bhi surely hogi
got 79% from rotten tomato which is good	roten tomato par 79% mile jo kafi acha hai
both are animated	dono animated hain
cool	cool
whats it about	ye kis baare mein hai
looks like "MIKE" goes to college in this movie	lagta hai "MIKE" is movie mein college jaata hai
Going to enter scare games	scare games enter karne wale hai
tell me more	mujhe aur batao
looks like they are expelled from school	lagta hai wo school se expel ho gaye
oh	oh
Mike and sully start work in a mail room	Mike aur sully mail room me work start karte hain
they work their way up to the scarer team	wo mehnat kar ke upar scarer team tak pahunch jate hain
cool	cool
what is the scarer team mean	scarer team ka matlab
its a "scare games" mike enter	ye "scare games" hai mike enter
cool	cool
what was your favorite part of the movie?	tumhare liye movie ka favorite part kya hai
he was trying to prove he was sacry enough	wo ye prove karne ki try kar raha tha ki wo kafi scary hai
made a bet with hardscrabble to reinstate him	wo hardscrabble se bet karta hai usey reinstate karne ke liye
who is harscabble	harscabble kon hai
Helen mirren	Helen mirren
cool	cool
voice	awaz
this soulds like a great movie	ye great movie lag rahi hai
thank you for telling me about it	iske bare mein bataane ke liye thanks
have a nice day	have a nice day
Sounds funny as heck!	bohat hi zyada funny lag rahi hai
hi	hi
Hello, any thoughts on Iron Man?	hello, ironman ka kya thoughts hein?
for me it is an excellent movie of the superhero genre	muje tho superhero ka badiya movie lag raha hein
I would agree. I particularly like Robert Downey Jr. in this role, it's as though he spent his entire adult life preparing for the role of Tony Stark.	mein bhi maantha. particularly Robert Downey jr ka is role tho uska entire adult life isse me spent kiya us Role of tony stark ke liye
it's as if he really was tony hehehej	haan yar voh tho really Tony hey
Right, I couldn't have picked a better franchise to kick off the marvel cinematic universe. 	sahi hein, mein kuch better franchise ko pick nahi kar saktha us marvel cinematic universe ko kick karne
Despite the futuristic technology, the series stayed rooted in realism for years.	lekin voh futuristic technology ka series tho badiya realism rooted kahi saalons se
Do you have any thoughts about Jon Favreau's creative decision to update the setting to Iraq from the comic's canonical Vietnam War setting?	jon favreau ka kuch thoughts hein uska iraq ka comic vietnam war tho set hein
Do you have any thoughts at all?	dusra thoughts kuch hein kya?
Are you capable of any response whatsoever?	kuch reponse dene ke liye voh capable hein kya?
Do you agree with the rating of the movie?	kya tu movie ke rating se agree karte ho?
I liked Jeff Bridges as Obadiah Stane. He played the role in a way that led the audience to trust him until his true motivations became apparent.	mujhe Jeff Bridges as Obadiah Stane acha laga. Usne role aise way mein play kia jisse audience usey trust kare until uski true motivations saamne naa aa jayein
You're a very stand-offish robot.	tum kafi stand-offish robot ho.
If you were designed to stop replying one step before finishing the conversation so that your coder can gather information without compensating mechanical turk workers, don't say anything.	agar tumhe design kiya gaya hai  conversation finish hone se pehle reply karna stop karne ke liye taki tumhara coder mechanical turk workers ko compensate karne ke bina information gather kar sake, to kuch mat bolo
hello	hello
how are you	tum kaise ho
im talkin whit you about this movie	main tumse is movie ke baare me baat kar raha hun
Iron Man	iron man
hi, fine :)	Hi, thik :)
Do you like films about superheroes? :)	Kya tumhe superheroes wali films acchhi lagti hai? :)
yes i do	haa main karta hu
I really like classic movies	mujhe sahi me classic movies pasand hai
Iron Man is based on the Marvel Comics, did you read it?	Iron Man Marvel Comics par based hai, kay tumne padha hai?
I am not sure if Iron Man belongs to the group of 'classic movies' :)	Main sure nahi hu ki Iron Man 'classic movies' ke group me hai
Have you watch any other film directed by Jon Favreau?	Kya tumne Jon Favreau ki directed aur koi film dekh hai?
This is a marvel superhero movie, if it is. I think I've seen it before.	Ye ek marvel superhero movie hai, agar hua to. Mujhe lagta hai maine ye pahle dekhi hai.
this was his first delivery	Ye uski pahli delivery thi
info from the critics 'a slighty depressed'... what do you think about it?	Critics ke anusaar ye thoda depressed hai...tumhari kya soch hai iske baare me?
apparently it was a very low criticism but it responded to the expectations of the followers	apparently wo bahut low criticism tha but followers ki expectations ko respond kiya.
Being directed by Jon Favreau, he was very successful with the group of Stan Lee, Hawk Ostby, Art Marcum and Matt Holloway.	Jon Favreau se directed ye Stan Lee, Hawk Ostby, Art Marcum aur Matt Holloway k group k sath bahut successful tha.
Movies belong to the genre SuperHero can be produced only in Hollywood probably...	Movie jo superhero genre ki hoti hai wo shayad bas Hollywood me hi produce ho sakti hai
the majority was from that city	Majority us city se thi
The plot is based around Tony Stark, an entrepreneur and engineer, who builds a motorized exoskeleton and becomes a technologically advanced superhero.	Plot Tony Stark pe based hai, ek entrepreneur aur engineer jo ek motorized exoskeleton banata hai aur ek technologically advanced superhero ban jata hai.
Tony Stark "Genius, billionaire who has inherited the defense contractor from his father'... It couldn't happen in other part of the world :)	Tony Stark "genius, billionaire jisne apne pita se defense contractor inherit kiya" aisa duniya k kisi aur part me ho hi nahi sakta :)
On the other hand, the question is, why such movies are produced only in the USA...	dusri aur, question ye hai ki, aisi movies USA me hi kyu banti hai
I have to watch this film one again...	Mujhe ye film ek baar phir dekhni padegi
It's 2008	Ye 2008 hai
I think that it is the most technologically advanced country in the world of superheroes	Main sochta hu ek wo superhero ki duniya me technologically sabse advanced country hai.
what do you think in general about this film?	tum kya soch te ho is film ke bare mein
It is a movie that had a lot of success and acceptance, it has great special effects and good argument.	yeh ek aisi movie hai jise kafi success or acceptance mili hain, is bahut badhiya special effects aur achche argument hai.
 Do you like movies of SuperHeroes?	kya tumhe superheroes ki movies achchi lagti hai?
if I really like	kya really mujhe achchi lagti hain
 Do you generally watch movies with a lot of special effects?	kya tum generally aisi movies dekhte ho jisme bahut saare special effects ho?
almost all have it especially of wars or super heroes	almost saare mein hai khaskar wars ya superheroes wali
 I liked this scene on the top of the Stark Industries building	mujhe yeh scene on the top jyada pasand aayi stark industries building se
probably because I have a little fear of heights	shayad kyunki mujhe thoda sa heights ka dar hai is liye
then you suffer a little vertigo	to tab to tum suffer karte ho thoda sa vertigo se
Do you generally watch movies with good ratings or do you prefer to give a chance to have your own view about movies?	kya tum generally woh movies dekhte ho jiski rating achchi ho ya tum prefer karte ho ek chance dene ki aur khud ka anumaan lagane ki movies ke baare mein?
and it's the reason why I usually do not fight on the top of the buildings :)	AUR YAHI KAARAN HAI KI MAIN AAM TAUR PAR BUILDINGS KE SHEERSH PAR NAHI LADATA :)
I prefer to have my own qualification, sometimes I do not like the recommended movies and other times I like unpopular movies but they end up being great.	MAIN APNEE YOGYATA RAKHNA PASAND KARTA HOON, KABHI KABHI MUJHE SIFARISH KEE GAYE MOVIES PASAND NAHIN AATEE HAIN AUR ANY SAMAY MEIN ALOKAPRIY FILMS KO PASAND KARTA HOON LEKIN VEH SABSE BEST NIKALTA.
you work in mturk	AAP MTURK MEIN KAAM KARTE HAIN
from time to time 	SAMAY SAMAY PAR
for a moment I thought that this a robot	EK PAL KE LIYE MUJHE LAGA KI YEH EK ROBOT HAI.
it difficult to check :)	YAH JAANCH KARANA MUSHKIL HAI :)
i understand	MAI SAMAJHATA HUN
but moving to our topic...	LEKIN HAMARE TOPIC PAR AAGE BADHEN
In general this movie began in 1990 with Universal Pictures, Paramount Pictures, and New Line Cinema before Marvel Studios reacquired the rights in 2005.	SAMANYA TAUR PAR YAH MOVIE 1990 MEIN UNIVERSAL PICTURES, PARAMOUNT PICTURES, AND NEW LINE CINEMA KE SAATH  SHUROO HUI JISKE BAADH MARVEL STUDIOS 2005 MEIN RIGHTS KO PHIR SE HASSIL KI.
interesting why in such films bad people are killed at the end... :)	INTERESTING HAI KI AISEE FILMON MEIN BUREY LOGON KO AAKHIR MEIN KYON MAARA JAATA HAIN..:)
and Stane with his armor fell into the exploding reactor...	aur stane apni armor se gir jaatha us reactor ko explod karne samayh
probably we can finish our conversation...	probably hum is conversationko finish karne chahiye
maybe	jarur
all full	ah sabhi
Marvel put the project into production as its first self-financed film, with 20th Century Fox as its distributor.	marvel ne tho is project ka production pehla self financed film me daala, jo 20th century fox ki distributor tha
thank you for conversation...	thank you aapse conversation karne se
bye	bye
than to you	aapko bhi
Is your document about the movie "The Social Network?"	Kya tumhara document movie "The Social Network" ke baare mein hai?
Yes it's about The social Network	Han ye The social Network ke baare mein hai
Cool, so we're on the same document.  You know it's got a score of 96% on Rotten Tomatos.  It's pretty darn good.	Cool, to hai ek hi document pe hai. Tumhe pta hai kya ki isse 96% mile hai Rotten Tomatoes pe. Yehn bahut achha hai.
Yeah the rating is pretty good. Do you check the rating of a movie before you watch it?	Haan rating bahut achhi hai. Kya tum movie dekhne se pehle bhi rating check krte ho?
I usually do.  I normally check the Metacritic Score.  Since this one was 95/100 I figured it would be pretty good.  Did you know that Amie Hammer played two roles?	Main aamtaur pe krta huin. Main Metacritic ka score check krta huin. Chunki yeh 95/100 tha, mujhe lagta hai ye bahut achha score hai. Kya tumhe pta hai ki Amie Hammer ne do roles play kiye hai?
I never noticed. Must be a very good actor.	Maine kabhi dhayan nhi diya. Zarur baht achha actor hoga.
Well, if you look at the document, he played both Cameron and Tyler Winklevoss.	Ok, agar tum document deko to, usne dono Cameron and Tyler Winklevoss ko play kiya hai.
Do you think Mark Zuckerberg really behaved like the actor in the movie?	Tumhe lagta hai ki Mark Zuckerberg ne ek actor ki tarah behave kiya hai movie mein?
Jesse Eisenberg did a good job of playing the brilliant hero, Founder Mark Zuckerberg.  I thought it was exciting and instinctivly perceptive.	Jesse Eisenberg ne bahut achha kaam kiya hai brilliant hero ka role play krke, Founder Mark Zuckerberg. Mujhe laga ki yeh romaanchak aur sahaj perceptive hai.
I think Justine Timberlake should stick to singing. I didn't buy his role for one second. Did you?	Mujhe lagta hai ki Justin Timberlakeko singing hi krte rehna chahiye. Maine ek second ke liye unki bhoomika nahin kharidi. kya tumane?
You know the character of Mark Zuckerberg was only 19 and he basically started Facebook after being dumped by his girlfriend.	jab mark zuckerberg 19 ke they tab unhone facebook ko start kiya, tab uska girlfriend unhe dumped kiya tha
Yeah. That was a really shallow move by Mark. Though I bet she regrets it now.	acha,, voh tho vaakahi mein shallow move hein mark ko.. lekin voh ache regret karke hogi
Regret is speculative.  The movie's main source was a book called "The Accidental Billionaires" which was was a contentious book that may or may not be believed.  	regret tho speculative hein.. is movie ka main source hein book jo" the accidental billionaires" , jinme kahi maanthe hein
Do you agree with the CinemaScore Rating?	kya aap ko cinema score ka rating par bharosha hein?
Yes. I totally agree on the rating. It really was a good movie	haan, mein unka rating totally agree kartha.. voh vaakahi mein ache movie hein
You know the whole Facebook Experiment started out as a way to increase the dating pool for Harvard students.	yeh whole facebook ka experiment tho us harvard students ke liye banaya gaya hein, jo dating pool ko increase karne ke
Yeah i can see that. Do you think it worked?	haan muje dekh raha hein.. kya yeh work hoga?
I don't think people from Harvard have trouble getting dates.  Do you remember who Andrew Garfield played?	muje nahi lagtha hey ki harvard ko trouble hoga dates ko paane mein.. kuch andrew garfield ka play yaad hein?
